Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham),Recharge From Other Sources during monsoon season(Ham),Recharge from Rainfall during non-monsoon season(Ham),Recharge From Other Sources during non-monsoon season(Ham),Annual Replenishable resources(Ham),Annual Natural Discharge (Ham),Net Annual Ground Water Availability  (Ham),Draft due to Irrigation Needs(Ham),Draft due to Domestic & Industrial Water Supply Needs(Ham),Total annual Draft(Ham),Projected demand for Domestic and Industrial uses  upto 2025 (Ham), Ground Water Availability for Future Irrigation use (Ham),Stage of Ground Water Develop ment (%) 
512,TAMILNADU,Kanniyakumari,6482.034,13913.175,3186.222,3039.248,26620.679,2662.068,23958.611,3192.9875,1059.93,4252.92,1498.7,19266.92533,18
513,TAMILNADU,Karur,12827.83,14656.08,4171.08,3152.98,34807.98,3480.8,31327.18,28365.87,1921.71,30287.58,2184.21,777.09,97
514,TAMILNADU,Krishnagiri,18866.13,11874.79,5051.48,3568.81,39361.2,3936.12,35425.08,38331.3,2158.18,40489.48,2455.17,-5361.39,114
515,TAMILNADU,Madurai,19000.09,38423.45,4474.74,8988.35,70886.63,7088.66,63797.96,39040.31,4010.38,43050.69,4777.33,19980.32,67
516,TAMILNADU,Nagapattinam,7699.06,8453.34,962.84,1267.11,18382.35,1838.24,16544.12,15718.3,1005.9,16724.2,1139.7,-313.88,101
517,TAMILNADU,Namakkal,15068.67,16547.67,3698.31,5142.05,40456.71,4045.67,36411.04,43872.62,2194.58,46067.2,2394.94,-9856.52,127
518,TAMILNADU,Nilgiris,11489.2,206.52,2718.84,99.91,14514.46,1451.45,13063.02,602,533.38,1135.38,599.48,11861.53,9
519,TAMILNADU,Perambalur,9886.51,9422.31,2002.4,2589.05,23900.27,2390.03,21510.24,25081.84,1162.69,26244.53,1256.82,-4828.41,122
520,TAMILNADU,Pudukkottai,32655.97,53813.23,8591.77,14485.46,109546.43,10954.64,98591.79,36092.1,2184.25,38276.35,2465.3,60034.39,39
521,TAMILNADU,Ramanathapuram,13902.83,31102.99,4557.26,8173.04,57736.13,5773.61,51962.52,5931.04,1403.53,7334.57,1671.89,44359.59,14
522,TAMILNADU,Salem,24823.77,19897.46,5191.89,10763.96,60677.09,6067.71,54609.38,58715.04,4984.54,63699.58,5303.45,-9409.12,117
523,TAMILNADU,Sivagangai,19777.74,58564.75,4809.26,17535.62,100687.37,10068.74,90618.63,17771.25,1401.34,19172.59,1684.34,71163.05,21
524,TAMILNADU,Thanjavur,34518.3,34707.43,5801.61,7919.42,82946.75,8294.68,74652.08,73452.65,2517.97,75970.62,2888.96,-1689.54,102
525,TAMILNADU,Theni,12078.02,14613.1,8342.69,7949.83,42983.63,4298.36,38685.27,29341.1,754.22,30095.32,898.45,8445.72,78
526,TAMILNADU,Thirunelveli,27573.65,56865.41,9166.99,7327.09,100933.15,10093.32,90839.84,56980.26,2011.28,58991.54,2390.86,31468.72,65
527,TAMILNADU,Thiruvallur,25814.59,48563.48,2001.54,1911.55,78291.16,7829.12,70462.05,29548.04,18598.82,48146.86,19141.09,21772.92,68
528,TAMILNADU,Thiruvannamalai,40412.49,73856.89,5223.55,4604.26,124097.19,12409.72,111687.47,99684.23,3278.01,102962.24,3725.78,8277.45,92
529,TAMILNADU,Thiruvarur,14236.15,12665.29,1989.2,4511.77,33402.41,3340.24,30062.17,22440.25,1343.36,23783.61,1526.86,6095.05,79
530,TAMILNADU,Thoothukudi,17749.74,25783.35,5770.64,7011.77,56315.5,5631.55,50683.95,20056.05,1591.15,21647.2,1895.44,28732.46,43
531,TAMILNADU,Tiruchy,22918.12,44440.59,4482.72,6013.11,77854.54,7785.45,70069.09,49515.74,7175.3,56691.04,7451.28,13102.08,81
532,TAMILNADU,Tiruppur,20702.35,14107.38,5114.77,10492.8,50417.29,5041.73,45375.57,47619.24,3319.59,50938.83,3593.61,-5837.28,112
533,TAMILNADU,Vellore,27371.76,28411.08,5009.04,4731.2,65523.07,6552.31,58970.76,54257.79,6548.26,60806.05,7353.64,-2640.67,103
534,TAMILNADU,Villupuram,52900.59,97858.36,6552.43,7989.73,165301.11,16530.11,148771,141402.85,5010.48,146413.34,5688.53,1679.61,98
535,TAMILNADU,Virudhunagar,20769.7,22583.37,7014.81,8903.64,59271.52,5927.15,53344.37,31730.44,2017.71,33748.15,2513.11,19100.82,63
536,TELANGANA,Adilabad,134072,20183,29299,22680,206234,18764,187470,64218,7503,71721,12632,110620,38
537,TELANGANA,Karimnagar,85309,32311,18937,61419,197976,18344,179633,120625,16239,136864,46578,12430,76
538,TELANGANA,Khammam,105130,12436,30811,25670,174047,14742,159305,54538,6077,60615,9144,95623,38
539,TELANGANA,Mahbubnagar,93749,31386,29192,33697,188024,18730,169294,75667,10747,86414,14617,79010,51
540,TELANGANA,Medak,75233,14904,1315,21835,113287,10517,102770,71410,4936,76346,9895,21465,74
541,TELANGANA,Nalgonda,100411,44061,667,40360,185499,17248,168251,98868,10087,108955,12590,56794,65
542,TELANGANA,Nizamabad,65712,27968,16028,34758,144466,13337,131128,79763,4160,83923,8278,43087,64
543,TELANGANA,Rangareddy & Hyderabad,44711,5590,12691,8702,71694,6931,64763,34598,8248,42846,25998,4167,66
544,TELANGANA,Warangal,109041,22757,26084,35313,193195,16787,176408,100657,8241,108898,15712,60039,62
545,TRIPURA,West Tripura ,46162.77,0,21425.38,25363.09,92951.24,8765.18,84186.06,7134,3184.35,10318.35,8462.55,68589.51,12.3
546,TRIPURA,South Tripura ,29306.64,0,21169.87,17200.36,67676.88,3982.73,63694.14,1980,1777.21,3757.21,5624.64,56089.5,5.9
547,TRIPURA,North Tripura ,19082.26,0,16038.83,9046.79,44167.88,3666.86,40501.03,174,1415.89,1589.89,4073.4,36253.62,3.9
548,TRIPURA,Dhalai,19524.17,0,15117.28,7711.48,42352.93,3833.28,38519.65,30,778.3,808.3,1800.11,36689.54,2.1
549,UTTAR PRADESH,Agra,50080.33,12074.69,8142.72,22170.07,92467.81,9002.44,83465.37,85348.2,9658.76,95006.96,11653.2,5875.11,114
550,UTTAR PRADESH,Aligarh,42336.61,12208.23,8552.59,23752.13,86849.56,7860.75,78988.81,59009.41,7559.84,66569.25,12154.25,11670.63,84
551,UTTAR PRADESH,Allahabad,87028.66,26082.4,0,28959.34,142070.4,7271.37,134799.03,84964.93,16778.9,101743.83,20807.63,29337.92,75
552,UTTAR PRADESH,Ambedkar Nagar,42481.9,20978.2,10664.25,22976.96,97101.31,7527.6,89573.71,59962.4,4807.74,64770.14,6692,22919.31,72
553,UTTAR PRADESH,Amethi,51069.4,22653.53,3249.26,32600.93,109573.12,9342.25,100230.87,68020.78,5105.59,73126.37,6800.1,25409.99,73
554,UTTAR PRADESH,Amroha,45283.47,8402.81,7072.47,12756.64,73515.39,6509.25,67006.14,66896.07,3185.71,70081.78,4473.59,0,105
555,UTTAR PRADESH,Auraiya,28171.87,12733.16,0,27033.83,67938.86,3396.94,64541.92,41916.3,2846.95,44763.25,4057.7,18567.92,69
556,UTTAR PRADESH,Azamgarh,67999.46,24632.79,11114.8,33710.25,137457.3,6872.87,130584.44,71691.25,13638.24,85329.49,20477.28,38900.68,65
557,UTTAR PRADESH,Baghpat,31290.76,8059.28,0,14893.12,54243.16,2712.16,51531,47274.5,2307.33,49581.83,3063.95,2505.93,96
558,UTTAR PRADESH,Bahraich,95364.26,5868.41,5581.01,10978.84,117792.52,10243.24,107549.28,53488.56,6797.74,60286.3,12950.95,41109.77,56
559,UTTAR PRADESH,Ballia,41078.7,16776.44,7060.08,21001.17,85916.39,7911.44,78004.95,47954.04,6950.07,54904.11,12095.51,17955.4,70
560,UTTAR PRADESH,Balrampur,73414.86,5612.47,0,10331.44,89358.77,4467.94,84890.83,37313.54,4218.96,41532.5,5583.47,41993.82,49
561,UTTAR PRADESH,Banda,54331.2,9728.51,0,8661.2,72720.91,3636.05,69084.87,34505.92,2693.36,37199.28,3925.64,30653.31,54
562,UTTAR PRADESH,Barabanki,95513.81,40082.22,18264.15,71795.39,225655.57,18973.49,206682.08,134488.31,7687.53,142175.84,10576.98,61616.79,69
563,UTTAR PRADESH,Bareilly,91726.15,27516.99,3544.49,42505.41,165293.04,8264.65,157028.39,109698.77,9438,119136.77,9341.86,37987.76,76
564,UTTAR PRADESH,Basti,62995.49,10255.68,14749.67,14737.9,102738.74,5136.94,97601.8,68133.98,5475.09,73609.07,7723.08,21744.74,75
565,UTTAR PRADESH,Bijnor,107726.18,9311.85,12093.81,13769.87,142901.7,12853.6,130048.09,84789.02,7027.11,91816.13,10807.73,38051.01,71
566,UTTAR PRADESH,Budaun,93022.6,11877.92,4793.52,21311.51,131005.55,6550.28,124455.27,95954.07,7157.47,103111.54,10589.69,18902.53,83
567,UTTAR PRADESH,Bulandshahar,50063.04,36214.02,6766.49,52926.88,145970.43,11935.48,134034.95,115312.17,6228.1,121540.27,8195.17,14677.86,91
568,UTTAR PRADESH,Chandauli,40171.85,24139.51,0,17284.23,81595.59,4079.78,77515.81,26043.9,4197.67,30241.57,5894.83,45577.08,39
569,UTTAR PRADESH,Chitrakoot,24312.81,1161.89,0,1491.71,26966.41,1348.32,25618.09,14323.53,2154.57,16478.1,4205.73,8209.93,64
570,UTTAR PRADESH,Deoria,64978.75,12673.73,9514.71,19332.95,106500.14,5325.01,101175.13,70802.04,7504.54,78306.58,10006.31,20366.79,77
571,UTTAR PRADESH,Etah,32150.12,11426.95,5710.8,20577.59,69865.46,6717.14,63148.32,48360.47,4010.88,52371.35,5637.52,10299.72,83
572,UTTAR PRADESH,Etawah,34022.16,13297.01,0,25241.9,72561.07,3628.05,68933.02,32436.12,2596.92,35033.04,3353.12,33143.78,51
573,UTTAR PRADESH,Faizabad,46994.51,14663.67,9072.61,17237.52,87968.31,4398.42,83569.89,52107.33,3892.2,55999.53,5400.06,26062.5,67
574,UTTAR PRADESH,Farrukhabad,40816,5989.4,4337.43,11085.43,62228.26,3111.41,59116.85,42575.43,3417.09,45992.52,5090.03,11451.39,78
575,UTTAR PRADESH,Fatehpur,75244.73,21580.95,0,28378.39,125204.07,6260.2,118943.87,100112.87,5820.84,105933.71,7666.29,11525.26,89
576,UTTAR PRADESH,Firozabad,34842.43,13015.73,5702.93,23926.39,77487.48,7748.75,69738.73,76264.44,5684.64,81949.08,7143.52,4814.17,118
577,UTTAR PRADESH,Ghaziabad,10213.16,7087.85,1366.87,12103.76,30771.64,1538.58,29233.06,26449,4802.26,31251.26,9022.51,2621.65,107
578,UTTAR PRADESH,G.B. Nagar,13693.81,8554.74,1893.95,20836.11,44978.61,3815.72,41162.88,40431.18,1938.07,42369.25,2936.92,2156.26,103
579,UTTAR PRADESH,Ghazipur,52998.13,27754.96,11596.66,36162.49,128512.24,6425.61,122086.63,82469.8,8120.51,90590.31,11861.97,28263.58,74
580,UTTAR PRADESH,Gonda,79970.53,9910.61,18433.54,19753.81,128068.49,6403.42,121665.07,74902.26,6725.68,81627.94,9581.83,37180.98,67
581,UTTAR PRADESH,Gorakhpur,121910.71,12732.43,30276.82,20613.05,185533.01,9276.65,176256.36,88074.03,7181.03,95255.06,13661.18,74521.15,54
582,UTTAR PRADESH,Hamirpur,32311.43,5399.53,7263.09,12447.73,57421.78,2871.09,54550.69,30692.36,2951.58,33643.94,4943.55,18775.25,62
583,UTTAR PRADESH,Hapur,20209.27,7170.54,2637.74,13209.41,43226.96,4322.7,38904.26,39067.6,2996.84,42064.44,4051.03,1140.79,108
584,UTTAR PRADESH,Hardoi,99875.62,31619.44,1470.54,49836.98,182802.58,9140.13,173662.45,116339.31,8680.75,125020.06,11042.19,46280.95,72
585,UTTAR PRADESH,Hathras,24683.92,12743.07,3964.99,23212.99,64604.96,6025.04,58579.92,53080.26,2802.02,55882.28,5471.03,6723.02,95
586,UTTAR PRADESH,Jalaun,74345.19,20243.45,10518.55,55488.39,160595.58,8029.78,152565.8,48707.47,4206.81,52914.28,4207.35,99650.98,35
587,UTTAR PRADESH,Jaunpur,90155.83,24776.55,0,36969.62,151902,7595.1,144306.9,113843.15,11356.37,125199.52,16612.22,19234,87
588,UTTAR PRADESH,Jhansi,40971.89,4207.03,7044,16864.85,69087.77,3454.39,65633.38,38013.13,3953.9,41967.03,6163.6,21456.65,64
589,UTTAR PRADESH,Kannauj,35237.08,9327.75,3678.09,20581.32,68824.24,6230.02,62594.22,39808.61,3342.67,43151.28,4877.89,21900.31,69
590,UTTAR PRADESH,Kanpur Dehat,51004.43,13722.01,0,22516.53,87242.97,4362.15,82880.82,56920.07,3916.8,60836.87,5777.97,20182.78,73
591,UTTAR PRADESH,Kanpur Nagar,56638.36,12534.65,0,24240.31,93413.32,5524.07,87889.25,56733.14,20555.53,77288.67,26350.86,4805.25,88
592,UTTAR PRADESH,Kasganj,25422.24,10493.16,4531.33,16497.02,56943.75,5176.48,51767.26,41748.22,3466.52,45214.74,4206.05,4346.23,87
593,UTTAR PRADESH,Kaushambi,37505.75,7215.81,1472.37,7853.76,54047.69,2702.38,51345.31,39747.55,3675.87,43423.42,3500.43,9217.8,85
594,UTTAR PRADESH,Kushi Nagar,89472,32475.33,11618.19,41691.89,175257.41,8762.87,166494.54,70364.745,7644.09,78008.84,14299.52,81830.27,47
595,UTTAR PRADESH,Lakhimpur Khiri,156998.13,33820.01,39283.6,66101.45,296203.19,14810.16,281393.03,145792.7,10055.27,155847.97,16008.45,119591.88,55
596,UTTAR PRADESH,Lalitpur ,33110.91,5259,5604.91,14409.24,58384.06,2919.2,55464.86,30810.13,2845.75,33655.88,4825.22,19829.51,61
597,UTTAR PRADESH,Lucknow,42979.95,12170.9,0,19133.23,74284.08,4239.25,70044.83,39588.8,16205.47,55794.27,20311.32,10144.71,80
598,UTTAR PRADESH,Maharajganj,56730.16,20124.72,14733.36,26477.93,118066.17,5903.31,112162.86,62941.69,5759.73,68701.42,10069.32,39151.86,61
599,UTTAR PRADESH,Mahoba,13608.13,1222.44,0,3613.78,18444.35,922.22,17522.13,17720.33,1686.39,19406.72,2674.69,0,111
600,UTTAR PRADESH,Mainpuri,43035.32,16922.09,7561.41,32564.79,100083.61,8500.65,91582.96,74933.22,3612.42,78545.64,5280.12,14890.14,86
601,UTTAR PRADESH,Mathura,40265.47,24646.5,7051.34,44493.96,116457.28,11645.73,104811.55,92383.56,4003.12,96386.68,6189.57,22239.36,92
602,UTTAR PRADESH,Maunath Bhanjan,30417.44,6603.25,6223.62,7593.93,50838.24,2541.91,48296.33,29634.54,4124.54,33759.08,7289.34,11372.45,70
603,UTTAR PRADESH,Meerut,47358.83,26497.45,5769.93,44372.06,123998.27,9133.71,114864.56,77846.01,7997.46,85843.47,9992.67,29539.03,75
604,UTTAR PRADESH,Mirzapur,40894.15,11503.68,0,12521.01,64918.84,3381.56,61537.28,32213.04,6409.44,38622.48,10388.07,19554.78,63
605,UTTAR PRADESH,Moradabad,43412.26,11891.98,5599.05,15155.74,76059.02,6966.99,69092.04,61753.55,5019.88,66773.43,7969.26,5800.72,97
606,UTTAR PRADESH,Muzzafarnagar,48007.84,16944.2,9681.94,29703.67,104337.65,9960.59,94377.07,58207.39,3845.71,62053.1,8288.64,31711.26,66
607,UTTAR PRADESH,Pilibhit,89974.81,19546.07,0,27652.98,137173.86,6858.69,130315.17,80601.56,4639.43,85240.99,6779.63,42933.98,65
608,UTTAR PRADESH,Pratapgarh,71491.37,34097.57,12551.25,43332.2,161472.39,9172.2,152300.19,150235.43,7645.22,157880.65,10294.06,14371.19,104
609,UTTAR PRADESH,Raebareli,67465.35,16135.35,6911.31,24569.11,115081.12,5754.06,109327.06,61559.25,5816.59,67375.84,7884.56,39883.25,62
610,UTTAR PRADESH,Rampur,51195.14,9321.59,5789.24,13700.73,80006.7,7013.6,72993.11,66044.29,4307.31,70351.6,6679.75,8904.24,96
611,UTTAR PRADESH,Saharanpur,78255.16,22413.29,12140.5,34239.93,147048.88,12162.48,134886.4,171401.54,5523.42,176924.96,8804.22,325.72,131
612,UTTAR PRADESH,Sambhal,47531.06,7346.19,4613.65,11926.85,71417.75,3570.89,67846.86,63446.21,4139.17,67585.38,6126.3,2964.14,100
613,UTTAR PRADESH,Sant Kabeer Nagar,50457.5,4553.12,12695.04,8106.29,75811.95,3790.6,72021.35,36849.78,3926.89,40776.67,5845.7,29325.87,57
614,UTTAR PRADESH,Sant Ravidas Nagar,24966.1,9118.93,0,10936.91,45021.94,2251.1,42770.85,34032.48,4078.72,38111.2,6390.42,2034.84,89
615,UTTAR PRADESH,Shajahanpur,98419.43,15802.84,10945.38,22484.68,147652.33,7382.62,140269.71,78191.38,6957.58,85148.96,11007.88,51070.45,61
616,UTTAR PRADESH,Shamli,21558.92,8123.93,4276.26,12125.91,46085.02,3533.86,42551.16,46799.52,2282.5,49082.02,3457.2,1027.96,115
617,UTTAR PRADESH,Shrawasti,29055.79,3438.91,6987.71,5913.51,45395.92,2269.8,43126.12,27581.5,2277.74,29859.24,4315.27,11229.35,69
618,UTTAR PRADESH,Siddharth Nagar,101866.46,7499.68,4821.79,15007.9,129195.83,6459.79,122736.04,48261.31,5912.46,54173.77,9387.51,65087.22,44
619,UTTAR PRADESH,Sitapur,119147.12,37065.09,0,71975.96,228188.17,11409.41,216778.76,133515.17,10508.98,144024.15,16062.38,67201.21,66
620,UTTAR PRADESH,Sonbhadra,19077.3,3378.27,0,1438.49,23894.06,2005.13,21888.93,7786.26,1877.55,9663.81,6705.71,7396.96,44
621,UTTAR PRADESH,Sultanpur,52162.64,24231.82,2932.31,32772.43,112099.2,5604.96,106494.24,65089.89,4967.21,70057.1,6914.89,34489.46,66
622,UTTAR PRADESH,Unnao,82455.05,37683.18,0,60897.2,181035.43,9051.77,171983.66,117423.82,7797.44,125221.26,11459.29,43100.55,73
623,UTTAR PRADESH,Varanasi,34067.44,7290.49,0,9808.71,51166.64,2558.33,48608.31,35106.33,10124.09,45230.42,11497.15,4485.36,93
624,UTTARAKHUND,Dehradun ,28303.59,1343.88,5184.58,1782.2,36614.25,156.3,36457.92,4291.97,638.4,4930.37,4060.86,28105.09,14
625,UTTARAKHUND,Haridwar,31278.34,15661.27,10140.62,31403.63,88483.86,2353.25,86130.61,40614.23,7992.45,48606.68,2220.02,43296.36,56
626,UTTARAKHUND,Udham Singh Nagar ,43113.99,4529.02,7702.55,8739.27,64084.83,663.41,63421.38,33912.1,5466.3,39378.4,23543.76,5965.52,62
627,UTTARAKHUND,Nainital,7640.93,661.31,1199.3,1191.78,10693.32,92.65,10600.66,5295.2,549.48,5844.68,241.48,5063.98,56
628,WEST BENGAL,Coochbehar,185334.09,60379.13,5143.37,12100.71,262957.3,26295.71,236661.59,42261.5,4447.27,46708.77,5988.25,188411.84,20
629,WEST BENGAL,Jalpaiguri,228086.62,65301.46,3939.51,12078.29,309405.88,30940.59,278465.29,8241.2,4395.75,12636.95,5908.97,264315.12,5
630,WEST BENGAL,Darjeeling,39186.21,13052.71,0,0,52238.92,5223.89,47015.03,1169.1,1478.05,2647.15,2012.74,43833.19,6
631,WEST BENGAL,Uttar Dinajpur,91467.43,22166.67,7541.41,24353.83,145529.34,12014.51,133514.83,78133.6,4811.27,82944.87,7569.33,47811.9,62
632,WEST BENGAL,Dakshin Dinajpur,65504.74,17257.72,6432.72,18756.55,107951.73,9115.64,98836.09,50706,2618.71,53324.71,3349.33,44780.76,54
633,WEST BENGAL,Malda,96263.27,21992.81,9181.2,23347.7,150784.98,14697.37,136087.61,59108.6,6392.43,65501.03,9828.37,67150.64,48
634,WEST BENGAL,Murshidabad,137803.88,38349.83,19693.42,53252.88,249100.01,23373.65,225726.36,186187,10286.71,196473.71,17323.82,22215.54,87
635,WEST BENGAL,Nadia,113617.65,43916.37,18299.88,47699.21,223533.1,18795.48,204737.62,179222.2,8117.25,187339.45,10601.16,14914.26,92
636,WEST BENGAL,North 24-Parganas,105327.29,27207.49,8147.66,25564.5,166246.93,16307.62,149939.31,84524.6,14404.77,98929.37,19035.91,46378.8,66
637,WEST BENGAL,Howrah,18922.39,5987.95,1114.8,6932.33,32957.47,3295.74,29661.73,4970,2356.32,7326.32,6038.57,18653.16,25
638,WEST BENGAL,Hooghly,87499.21,24032.23,6344.07,21148.49,139024,13902.41,125121.59,54601.8,7171.42,61773.22,10669.27,59850.52,49
639,WEST BENGAL,Burdwan,170643.19,42504.98,13283.39,35214.86,261646.42,24768.66,236877.76,94059.6,9608.01,103667.61,15762.29,127055.87,44
640,WEST BENGAL,Birbhum,83998.75,20743.15,7628.72,16112.27,128482.89,11908.95,116573.94,36191.8,3948.14,40139.94,7780.42,72601.72,34
641,WEST BENGAL,Bankura,98905.53,24886.5,21562.59,32647.44,178002.06,16232.96,161769.1,69980.27,4702.22,74682.48,7362.46,84426.38,46
642,WEST BENGAL,Purulia,53190.45,14077.33,8011.53,4806.45,80085.76,7361.68,72724.08,2232.8,4627.09,6859.89,6411.97,64079.31,9
643,WEST BENGAL,Purba Medinipore,53800.58,15434.6,1957.01,10220.33,81412.52,8141.26,73271.26,21562.4,3047.88,24610.28,4341.44,47367.42,34
644,WEST BENGAL,Paschim Medinipore,241691.73,68840.05,12698.55,40624.33,363854.66,34991.16,328863.5,110919.6,7943.15,118862.75,12907.78,205036.12,36
645,ANDAMAN & NICOBAR,Andaman & Nicobar,38116.025,3824.791,19.559,4.89,41965.266,4196.527,37768.739,14.579,354.783,369.362,1615.437,36138.723,1
646,CHANDIGARH(UT),Chandigarh UT (Ham),1545,39,488,87,2159,216,1943,0,0,0,0,0,0
647,DADRA NAGAR & HAVELI,UT of Dadra & Nagar Haveli,5417.7,219.9,966.61,441.48,7045.69,704.57,6341.12,750.46,1292.4,2042.86,1398.486,4192.178085,32.21605464
648,DAMAN & DIU,Daman,777,89,0,93,959,48,911,394,125,519,235,282,56.97
649,DAMAN & DIU,Diu,458,23,0,45,526,53,473,377,68,445,80,16,94.08
650,LAKSADWEEP,Agatti,NA,NA,NA,NA,107.8,72.4,35.4,NA,28,28,NA,NA,79
651,LAKSADWEEP,Amini,NA,NA,NA,NA,103,69,34.1,NA,28.2,28.2,NA,NA,83
652,LAKSADWEEP,Androth,NA,NA,NA,NA,192.5,130.2,62.3,NA,41.2,41.2,NA,NA,66
653,LAKSADWEEP,Chetlat,NA,NA,NA,NA,41.4,27.8,13.6,NA,8.6,8.6,NA,NA,63
654,LAKSADWEEP,Kadmat,NA,NA,NA,NA,124.1,83.4,40.7,NA,19.7,19.7,NA,NA,48
655,LAKSADWEEP,Kalpeni,NA,NA,NA,NA,90.7,61,29.7,NA,16.2,16.2,NA,NA,55
656,LAKSADWEEP,Kiltan,NA,NA,NA,NA,64.8,43.1,21.7,NA,14.6,14.6,NA,NA,67
657,LAKSADWEEP,Kavaratti,NA,NA,NA,NA,144.4,96,48.4,NA,41.8,41.8,NA,NA,86
658,LAKSADWEEP,Minicoy,NA,NA,NA,NA,185.8,121.6,64.2,NA,38.9,38.9,NA,NA,61
659,PUDUCHERRY,Puducherry,7299.24,1961.94,606.49,2294.56,12162.22,1216.22,10946,11875,2393.13,14268.13,4107.42,NA,130
660,PUDUCHERRY,Karaikal,1995.1,4036.09,281.55,532.32,6845.06,684.51,6160.55,510.83,387.67,898.5,353.54,5296.18,15
661,PUDUCHERRY,Mahe,244.73,0,27.5,0,272.23,27.22,245.01,0,167.78,167.78,209.44,35.57,68
662,PUDUCHERRY,Yanam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
